temple,lon,lat
曼珠寺,94.48333,31.26667
乃聂寺,91.41666,31.53333
东宗寺,97.96667,32.45
仲让寺,97.86667,32.33333
多卡寺,98.85,30.8
强松寺,95.8,31.21667
当普寺,95.0,30.85
嘎普寺,99.0,29.78333
克巴拉寺,98.7,29.46667
喇嘛岭寺,94.38333,29.43333
马尔崩寺,95.28333,29.33333
东冲寺,97.63333,30.81667
宗沙寺,98.2,30.5
约达寺,97.2,31.06667
上高吉寺,97.2,31.36667
鲁仓寺,89.08334,30.73333
琼扩寺,94.3,31.65
若巴寺,97.4854,29.6088
天主教堂,98.9,29.03333
查日寺,98.25,30.88333
卓珍寺,98.36667,30.68333
热登寺,93.25,31.53333
多玛寺,91.45,32.15
库绒寺,100.66666,28.85
琼果寺,97.03333,30.03333
绝顶寺,99.01667,28.95
吾唐寺,97.75,29.41667
扎培寺,95.36667,31.21667
诺扎寺,97.33334,30.73333
郭空寺,98.63333,30.45
果根寺,98.86667,30.7
嘎莱寺,97.41666,31.55
贡则寺,98.58334,31.18333
巴荣寺,91.63333,30.81667
香托寺,97.8,32.48333
莫卡寺,98.85,30.8
弟果寺,95.8,31.21667
甲热桑培罗布尔寺,95.0,30.85
朱巴寺,98.71667,29.95
曲嘎寺,98.7,29.46667
朱曲点寺,94.38333,29.43333
洛帮寺,95.28333,29.33333
嘎吉寺,97.86667,30.83333
德松寺,98.2,30.5
泽尼寺,97.13333,31.56667
拉龙寺,89.08334,30.73333
贡欧寺,94.3,31.65
友巴寺,97.66168,29.47435
拉贡寺,98.9,29.03333
乐普寺,98.25,30.88333
